the	23135851162
be	13047913334
to	12136980858
of	11820836747
and	10989497138
a	10427512430
in	8507281891
that	7517730288
have	6332185948
it	5430541382
for	4997722092
not	4801285117
on	4393142827
with	4029515580
he	3823871886
as	3427985255
you	3196816182
do	3131510655
at	2869637029
this	2845892349
but	2680153038
his	2667609292
by	2543163226
from	2374401740
they	2232267448
we	2109019013
say	2034311816
her	1987261827
she	1887671418
or	1883558688
an	1877617239
will	1871894427
my	1844518463
one	1784649037
all	1764372325
would	1753396418
there	1697748860
their	1692028469
what	1672397224
so	1614701173
up	1606261547
out	1585019526
if	1539994854
about	1486618582
who	1456791147
get	1432069524
which	1406168949
go	1399748023
me	1389376087
when	1378090840
make	1370462898
can	1358527726
like	1337416424
time	1307368028
no	1306069636
just	1285200450
him	1258736792
know	1255891088
take	1217432073
people	1200748066
into	1195302738
year	1155716074
your	1148824302
good	1100481453
some	1087131892
could	1072940878
them	1069048218
see	1062551219
other	1059528497
than	1050780447
then	1044044680
now	1036888474
look	1035090920
only	1024898714
come	1021688283
its	1021009688
over	1005887756
think	993978026
also	979960350
back	973524093
after	963920424
use	957289006
two	954393614
how	949977754
our	949463625
work	928975027
first	925920870
well	920406394
way	914476578
even	911090614
new	907988449
want	907234302
because	896476892
any	887671451
these	883173820
give	869832637
day	860024628
most	844543003
us	840124234
great	823721764
between	786614100
need	783609951
large	780695513
often	778690396
hand	776503568
high	770406359
place	764700677
hold	762248718
world	761118640
found	751019296
still	742064648
learn	737700100
plant	736609716
cover	729513282
food	726600130
sun	724421042
four	722019754
thought	719717224
let	718813948
keep	718064716
children	711264132
feet	710006048
side	706012284
without	702624438
boy	700607012
once	699700064
animal	698219120
life	697721780
enough	696026928
took	694399756
sometimes	693234860
four	692567868
always	691455888
those	690866928
both	688813748
paper	685820464
together	682924156
got	681217700
group	677802320
often	674997004
run	674344416
important	673613156
until	673163588
children	671694308
side	669965152
feet	667614564
car	665900220
mile	662823440
night	661444056
walk	659888340
white	658869392
sea	656992164
began	654853664
grow	651904028
took	649677476
river	648718488
four	646714148
carry	645818732
state	644703476
once	641844164
book	640803592
hear	639854912
stop	637718860
without	636892820
second	635671556
later	633894900
miss	633058484
idea	629874540
enough	628729848
eat	628047748
face	625890232
watch	623762768
far	622873316
Indian	620952404
really	619726348
almost	617891252
let	617185284
above	616553032
girl	616166684
sometimes	615780032
mountain	614668660
cut	613836796
young	613021752
talk	611744940
soon	610804936
list	609928508
song	609066436
leave	608153748
family	607362272
body	606613452
music	605788456
color	604998232
stand	604159636
sun	603334504
questions	602582212
fish	601791140
area	600994260
mark	600258948
dog	599554380
horse	599083596
birds	598548028
problem	598131716
complete	597605484
room	597091200
knew	596633136
since	596222892
ever	595769780
piece	595346760
told	594982420
usually	594566356
didn't	594106232
friends	593691736
easy	593246828
heard	592828048
order	592464296
red	592064960
door	591672108
sure	591296616
become	590927236
top	590604420
ship	590244476
across	589899980
today	589511692
during	589159356
short	588804860
better	588444984
best	588101696
however	587748032
low	587401632
hours	587055892
black	586706432
products	586363764
happened	586019740
whole	585671868
measure	585325120
remember	584978560
early	584632540
waves	584289648
reached	583945716
listen	583602752
wind	583258072
rock	582907720
space	582555248
covered	582212892
fast	581866844
several	581517780
hold	581175800
himself	580826272
toward	580475856
five	580130312
step	579774028
morning	579425152
passed	579071064
vowel	578717452
true	578366580
hundred	578014996
against	577662480
pattern	577310128
numeral	576956796
table	576603896
north	576252116
slowly	575899252
money	575547488
map	575194152
farm	574842136
pulled	574489040
draw	574136388
voice	573785576
seen	573429900
cold	573073872
cried	572717064
plan	572360400
notice	572005016
south	571651600
sing	571291780
war	570935772
ground	570579996
fall	570224008
king	569869408
town	569512648
I'll	569157764
unit	568799064
figure	568441940
certain	568082564
field	567723120
travel	567361284
wood	566999220
fire	566637916
upon	566279744
done	565920200
english	565562392
road	565201428
half	564842644
ten	564484760
fly	564126892
gave	563768060
box	563404256
finally	563039940
wait	562678600
correct	562318528
oh	561959312
quickly	561600892
person	561244988
became	560885480
shown	560527592
minutes	560167728
strong	559807348
verb	559448128
stars	559087948
front	558729664
feel	558373696
fact	558014396
inches	557657052
street	557300988
decided	556943060
contain	556584664
course	556225468
surface	555867668
produce	555509372
building	555150732
ocean	554791732
class	554431916
note	554073196
nothing	553716480
rest	553358852
carefully	552999216
scientists	552641584
inside	552283916
wheels	551926252
stay	551566984
green	551207460
known	550850896
island	550491624
week	550132164
less	549772408
machine	549414804
base	549055504
ago	548696844
stood	548337256
plane	547977044
system	547617852
behind	547258744
ran	546899200
round	546541936
boat	546179756
game	545818712
force	545459288
brought	545098352
understand	544739948
warm	544380200
common	544022632
bring	543661584
explain	543302420
dry	542942852
though	542581844
language	542219920
shape	541857988
deep	541496644
thousands	541136236
yes	540775528
clear	540413760
equation	540052996
yet	539692432
government	539330772
filled	538970244
heat	538607908
full	538246484
hot	537886088
check	537525936
object	537163292
am	536803048
rule	536440272
among	536077940
noun	535717120
power	535356968
cannot	534994008
able	534633980
six	534271564
size	533910308
dark	533547024
ball	533183972
